"prediction","centile","value","text","cluster"
0.0278261904761905,"TimeLastShot",-1.96463186672626,"Time of last shot","Low"
0.0278261904761905,"TimeLastShot",-1.59890633016291,"Time of last shot","Low"
0.0278261904761905,"TimeLastShot",-1.23318079359956,"Time of last shot","Low"
0.0278261904761905,"TimeLastShot",-0.867455257036203,"Time of last shot","Low"
0.0280261904761905,"TimeLastShot",-0.50172972047285,"Time of last shot","Low"
0.0291161904761905,"TimeLastShot",-0.136004183909497,"Time of last shot","Low"
0.0391395238095238,"TimeLastShot",0.229721352653856,"Time of last shot","Low"
0.309202857142858,"TimeLastShot",0.595446889217209,"Time of last shot","Low"
0.507743015873016,"TimeLastShot",0.961172425780563,"Time of last shot","Low"
0.50158634920635,"TimeLastShot",1.32689796234392,"Time of last shot","Low"
0.40244634920635,"CoverageDTP3",-1.87230489142901,"DTP3 coverage","Low"
0.40244634920635,"CoverageDTP3",-1.5349526587391,"DTP3 coverage","Low"
0.40244634920635,"CoverageDTP3",-1.19760042604919,"DTP3 coverage","Low"
0.418209682539684,"CoverageDTP3",-0.860248193359276,"DTP3 coverage","Low"
0.420883015873017,"CoverageDTP3",-0.522895960669364,"DTP3 coverage","Low"
0.465890634920636,"CoverageDTP3",-0.185543727979452,"DTP3 coverage","Low"
0.454820634920635,"CoverageDTP3",0.15180850471046,"DTP3 coverage","Low"
0.564090396825397,"CoverageDTP3",0.489160737400373,"DTP3 coverage","Low"
0.835015238095237,"CoverageDTP3",0.826512970090284,"DTP3 coverage","Low"
0.781077142857142,"CoverageDTP3",1.1638652027802,"DTP3 coverage","Low"
0.0316347619047619,"CoverageDTP1",-3.18328970301689,"DTP1 coverage","Low"
0.0316347619047619,"CoverageDTP1",-2.74116613315343,"DTP1 coverage","Low"
0.0316347619047619,"CoverageDTP1",-2.29904256328997,"DTP1 coverage","Low"
0.0316347619047619,"CoverageDTP1",-1.85691899342652,"DTP1 coverage","Low"
0.0314347619047619,"CoverageDTP1",-1.41479542356306,"DTP1 coverage","Low"
0.0312347619047619,"CoverageDTP1",-0.972671853699604,"DTP1 coverage","Low"
0.0308347619047619,"CoverageDTP1",-0.530548283836148,"DTP1 coverage","Low"
0.0323428571428571,"CoverageDTP1",-0.0884247139726915,"DTP1 coverage","Low"
0.0346342857142857,"CoverageDTP1",0.353698855890765,"DTP1 coverage","Low"
0.211200158730159,"CoverageDTP1",0.795822425754222,"DTP1 coverage","Low"
0.0592204761904762,"TimeFirstShot",-1.62783216400679,"Time of first shot","Low"
0.0592204761904762,"TimeFirstShot",-1.24317599654415,"Time of first shot","Low"
0.0597538095238095,"TimeFirstShot",-0.858519829081508,"Time of first shot","Low"
0.0182571428571429,"TimeFirstShot",-0.473863661618867,"Time of first shot","Low"
0.0178571428571429,"TimeFirstShot",-0.0892074941562264,"Time of first shot","Low"
0.0172571428571429,"TimeFirstShot",0.295448673306415,"Time of first shot","Low"
0.0172571428571429,"TimeFirstShot",0.680104840769056,"Time of first shot","Low"
0.0106338095238095,"TimeFirstShot",1.0647610082317,"Time of first shot","Low"
0.0106338095238095,"TimeFirstShot",1.44941717569434,"Time of first shot","Low"
0.0106338095238095,"TimeFirstShot",1.83407334315698,"Time of first shot","Low"
0.0308347619047619,"VaccineAdult",0,"Vaccine for adult","Low"
0.0228880158730159,"VaccineAdult",1,"Vaccine for adult","Low"
0.258854841269841,"VaccineWP",0,"wP vaccine","Low"
0.215621984126984,"VaccineWP",1,"wP vaccine","Low"
0.0163504761904762,"VaccineAP",0,"aP vaccine","Low"
0.0198938095238095,"VaccineAP",1,"aP vaccine","Low"
0.0274014285714286,"VaccineRisk",0,"Vaccine for risk","Low"
0.0668747619047618,"VaccineRisk",1,"Vaccine for risk","Low"
0.351070634920635,"VaccinePregnant",0,"Maternal immunization","Low"
0.372330085470087,"VaccinePregnant",1,"Maternal immunization","Low"
