"prediction","centile","value","text","cluster"
0.606413110005914,"VaccinePregnant",0,"Maternal immunization","Moderate"
0.58093921802179,"VaccinePregnant",1,"Maternal immunization","Moderate"
1.04801468346635,"VaccineAP",0,"aP vaccine","Moderate"
1.88303148598388,"VaccineAP",1,"aP vaccine","Moderate"
1.50805118593786,"CoverageDTP3",-3.04259568525225,"DTP3 coverage","Moderate"
1.40975267812988,"CoverageDTP3",-2.60014078862444,"DTP3 coverage","Moderate"
1.22704158161973,"CoverageDTP3",-2.15768589199664,"DTP3 coverage","Moderate"
1.17576386428307,"CoverageDTP3",-1.71523099536883,"DTP3 coverage","Moderate"
1.1227419281732,"CoverageDTP3",-1.27277609874102,"DTP3 coverage","Moderate"
1.08900189154317,"CoverageDTP3",-0.830321202113219,"DTP3 coverage","Moderate"
1.16495685531796,"CoverageDTP3",-0.387866305485413,"DTP3 coverage","Moderate"
1.12707213175039,"CoverageDTP3",0.0545885911423927,"DTP3 coverage","Moderate"
1.01708128722597,"CoverageDTP3",0.497043487770198,"DTP3 coverage","Moderate"
1.3220808272429,"CoverageDTP3",0.939498384398003,"DTP3 coverage","Moderate"
1.93119375323449,"VaccineWP",0,"wP vaccine","Moderate"
1.96583224826248,"VaccineWP",1,"wP vaccine","Moderate"
0.766774977628224,"VaccineRisk",0,"Vaccine for risk","Moderate"
0.444908631191462,"VaccineRisk",1,"Vaccine for risk","Moderate"
1.5042562334725,"CoverageDTP1",-3.33732860871766,"DTP1 coverage","Moderate"
1.20188347611598,"CoverageDTP1",-2.89002782043,"DTP1 coverage","Moderate"
1.18789207260721,"CoverageDTP1",-2.44272703214234,"DTP1 coverage","Moderate"
1.18211676957691,"CoverageDTP1",-1.99542624385469,"DTP1 coverage","Moderate"
1.17791339640546,"CoverageDTP1",-1.54812545556703,"DTP1 coverage","Moderate"
1.23765539697311,"CoverageDTP1",-1.10082466727937,"DTP1 coverage","Moderate"
1.12964846549303,"CoverageDTP1",-0.65352387899171,"DTP1 coverage","Moderate"
1.04179325451521,"CoverageDTP1",-0.206223090704051,"DTP1 coverage","Moderate"
1.04610681373377,"CoverageDTP1",0.241077697583608,"DTP1 coverage","Moderate"
1.26113088446609,"CoverageDTP1",0.688378485871266,"DTP1 coverage","Moderate"
1.20791382827554,"VaccineAdult",0,"Vaccine for adult","Moderate"
1.22800275236933,"VaccineAdult",1,"Vaccine for adult","Moderate"
0.976116736700216,"TimeLastShot",-1.14223552981692,"Time of last shot","Moderate"
1.18588771918773,"TimeLastShot",-0.75964534080848,"Time of last shot","Moderate"
0.999052915682187,"TimeLastShot",-0.377055151800045,"Time of last shot","Moderate"
1.07723194541667,"TimeLastShot",0.00553503720839021,"Time of last shot","Moderate"
0.988122484825142,"TimeLastShot",0.388125226216826,"Time of last shot","Moderate"
0.762169618042277,"TimeLastShot",0.770715415225261,"Time of last shot","Moderate"
0.735916650029897,"TimeLastShot",1.1533056042337,"Time of last shot","Moderate"
0.67287271948332,"TimeLastShot",1.53589579324213,"Time of last shot","Moderate"
0.686663177831053,"TimeLastShot",1.91848598225057,"Time of last shot","Moderate"
0.921161170372232,"TimeLastShot",2.301076171259,"Time of last shot","Moderate"
0.954845827740029,"TimeFirstShot",-1.68750966566587,"Time of first shot","Moderate"
0.954845827740029,"TimeFirstShot",-1.25576010892887,"Time of first shot","Moderate"
1.04092998413277,"TimeFirstShot",-0.824010552191877,"Time of first shot","Moderate"
1.04092998413277,"TimeFirstShot",-0.392260995454883,"Time of first shot","Moderate"
1.14204340707701,"TimeFirstShot",0.0394885612821108,"Time of first shot","Moderate"
1.14204340707701,"TimeFirstShot",0.471238118019105,"Time of first shot","Moderate"
1.14204340707701,"TimeFirstShot",0.902987674756099,"Time of first shot","Moderate"
1.20132447798042,"TimeFirstShot",1.33473723149309,"Time of first shot","Moderate"
1.20132447798042,"TimeFirstShot",1.76648678823009,"Time of first shot","Moderate"
1.20132447798042,"TimeFirstShot",2.19823634496708,"Time of first shot","Moderate"
