"NAME","CODE","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize"
"Madagascar","MDG",66,57,0,0,0,14,6,3,0,3,"wP","Normal","Normal",1
"Malawi","MWI",89,86,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Malaysia","MYS",99,97,0,0,0,77.94,8.66,4,0,4,"aP","Low","Unavailable",0
"Maldives","MDV",99,99,0,0,0,208,8.66,3,1,4,"wP","Unavailable","Unavailable",NA
"Mali","MLI",82,77,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Malta","MLT",99,98,0,0,0,77.94,8.66,4,0,4,"aP","Unavailable","Low",0
"Marshall Islands","MHL",96,86,0,0,0,598,8.66,4,2,6,"aP","Unavailable","Unavailable",NA
"Mauritania","MRT",84,76,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Mauritius","MUS",96,95,1,0,0,572,6,4,2,6,"Both","Unavailable","Unavailable",NA
"Mexico","MEX",93,83,1,0,0,208,8.66,4,1,5,"Both","Low","Low",0
"Micronesia (Federated States of)","FSM",92,69,0,0,0,598,8.66,4,2,6,"aP","Unavailable","Unavailable",NA
"Monaco","MCO",99,99,0,1,0,676,8.66,3,2,5,"aP","Unavailable","Unavailable",NA
"Mongolia","MNG",97,95,0,0,0,17.32,8.66,3,0,3,"wP","Unavailable","Unavailable",NA
"Montenegro","MNE",93,80,0,0,0,312,9,4,1,5,"aP","Unavailable","Resurgence",3
"Montserrat","MSR",NA,NA,0,0,0,77.94,8.66,3,0,3,"wP","Unavailable","Unavailable",NA
"Morocco","MAR",99,99,0,0,0,260,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Mozambique","MOZ",67,61,0,0,0,17.32,8.66,3,0,3,"wP","Unavailable","Unavailable",NA
"Myanmar","MMR",81,71,0,0,0,25.98,8.66,3,0,3,"wP","Unavailable","Resurgence",3
"Namibia","NAM",90,84,0,0,0,14,6,3,0,3,"wP","Normal","Normal",1
"Nauru","NRU",99,98,0,0,0,208,6,4,1,5,"Both","Unavailable","Unavailable",NA
"Nepal","NPL",95,90,0,0,0,14,6,3,0,3,"wP","Normal","Normal",1
"Netherlands (Kingdom of the)","NLD",97,93,1,0,1,208,12.99,3,1,4,"aP","Low","Unavailable",0
"New Caledonia","NCL",NA,NA,0,1,0,572,8.66,3,2,5,"aP","Unavailable","Unavailable",NA
"New Zealand","NZL",94,89,1,1,1,624,6,3,2,5,"aP","Low","Unavailable",0
"Nicaragua","NIC",94,92,0,0,0,312,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Niger","NER",96,84,0,0,0,14,6,3,0,3,"wP","Normal","High",2
"Nigeria","NGA",70,62,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Niue","NIU",99,99,1,0,0,572,6,3,2,5,"aP","Unavailable","Unavailable",NA
"North Macedonia","MKD",92,84,0,0,0,364,8.66,4,1,5,"aP","Unavailable","Normal",1
"Northern Mariana Islands","MNP",NA,NA,0,0,0,650,6,4,2,6,"aP","Unavailable","Unavailable",NA
"Norway","NOR",98,97,0,0,0,780,12.99,3,2,5,"aP","Low","Low",0
"occupied Palestinian territory, including east Jerusalem","PSE",99,98,0,0,0,77.94,8.66,4,0,4,"wP","Low","Normal",1
"Oman","OMN",99,99,0,0,1,77.94,8.66,4,0,4,"Both","Low","Normal",1
"Pakistan","PAK",93,85,0,0,0,14,6,3,0,3,"wP","Normal","Normal",1
"Palau","PLW",99,94,0,0,0,520,8.66,4,2,6,"aP","Unavailable","Unavailable",NA
"Panama","PAN",98,87,1,0,1,520,8.66,4,2,6,"Both","Low","Unavailable",0
"Papua New Guinea","PNG",45,36,0,0,0,12.99,4.33,3,0,3,"wP","Low","Low",0
"Paraguay","PRY",82,69,1,0,1,520,8.66,4,2,6,"Both","Low","Low",0
"Peru","PER",93,82,1,0,0,208,8.66,4,1,5,"wP","Low","Low",0
"Philippines","PHL",74,72,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Poland","POL",99,90,0,0,1,728,7.5,4,2,6,"Both","Low","Unavailable",0
"Portugal","PRT",99,99,1,0,0,260,8.66,4,1,5,"aP","Low","Low",0
"Qatar","QAT",99,98,0,0,0,806,8.66,4,2,6,"aP","Low","Resurgence",3
"Republic of Korea","KOR",98,98,0,0,0,598,8.66,4,2,6,"aP","Low","Unavailable",0
"Republic of Moldova","MDA",89,88,0,0,0,104,8.66,3,1,4,"wP","Low","High",2
"Romania","ROU",89,85,1,0,0,728,8.66,3,2,5,"aP","Low","Low",0
"Russian Federation","RUS",97,97,0,0,1,77.94,12.99,4,0,4,"wP","Low","Resurgence",3
"Rwanda","RWA",99,98,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Saint Kitts and Nevis","KNA",96,96,0,0,0,234,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Saint Lucia","LCA",92,81,0,0,0,260,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
