HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Pertussis,All cases,Reported cases,N,1998,AT,Austria,113,
Pertussis,All cases,Reported cases,N,1998,DK,Denmark,344,
Pertussis,All cases,Reported cases,N,1998,GR,Greece,85,
Pertussis,All cases,Reported cases,N,1998,ES,Spain,106,
Pertussis,All cases,Reported cases,N,1998,EUEEA30_21,EU/EEA (without UK),14820,
Pertussis,All cases,Reported cases,N,1998,EUEEAUK_21,EU/EEA (with UK until 2019),15206,
Pertussis,All cases,Reported cases,N,1998,FR,France,180,
Pertussis,All cases,Reported cases,N,1998,IE,Ireland,248,
Pertussis,All cases,Reported cases,N,1998,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,1998,IT,Italy,6981,
Pertussis,All cases,Reported cases,N,1998,LT,Lithuania,96,
Pertussis,All cases,Reported cases,N,1998,MT,Malta,4,
Pertussis,All cases,Reported cases,N,1998,NL,Netherlands,2572,
Pertussis,All cases,Reported cases,N,1998,NO,Norway,2310,
Pertussis,All cases,Reported cases,N,1998,PT,Portugal,9,
Pertussis,All cases,Reported cases,N,1998,SE,Sweden,1769,
Pertussis,All cases,Reported cases,N,1998,UK,United Kingdom,386,
Pertussis,All cases,Reported cases,N,1999,AT,Austria,103,
Pertussis,All cases,Reported cases,N,1999,DK,Denmark,947,
Pertussis,All cases,Reported cases,N,1999,GR,Greece,36,
Pertussis,All cases,Reported cases,N,1999,ES,Spain,220,
Pertussis,All cases,Reported cases,N,1999,EUEEA30_21,EU/EEA (without UK),16306,
Pertussis,All cases,Reported cases,N,1999,EUEEAUK_21,EU/EEA (with UK until 2019),16648,
Pertussis,All cases,Reported cases,N,1999,FR,France,195,
Pertussis,All cases,Reported cases,N,1999,IE,Ireland,179,
Pertussis,All cases,Reported cases,N,1999,IS,Iceland,22,
Pertussis,All cases,Reported cases,N,1999,IT,Italy,3798,
Pertussis,All cases,Reported cases,N,1999,LT,Lithuania,80,
Pertussis,All cases,Reported cases,N,1999,MT,Malta,60,
Pertussis,All cases,Reported cases,N,1999,NL,Netherlands,6988,
Pertussis,All cases,Reported cases,N,1999,NO,Norway,1241,
Pertussis,All cases,Reported cases,N,1999,PT,Portugal,12,
Pertussis,All cases,Reported cases,N,1999,SE,Sweden,2425,
Pertussis,All cases,Reported cases,N,1999,UK,United Kingdom,342,
Pertussis,All cases,Reported cases,N,2000,AT,Austria,117,
Pertussis,All cases,Reported cases,N,2000,DK,Denmark,923,
Pertussis,All cases,Reported cases,N,2000,GR,Greece,13,
Pertussis,All cases,Reported cases,N,2000,ES,Spain,587,
Pertussis,All cases,Reported cases,N,2000,EUEEA30_21,EU/EEA (without UK),15242,
Pertussis,All cases,Reported cases,N,2000,EUEEAUK_21,EU/EEA (with UK until 2019),15453,
Pertussis,All cases,Reported cases,N,2000,FR,France,275,
Pertussis,All cases,Reported cases,N,2000,IE,Ireland,152,
Pertussis,All cases,Reported cases,N,2000,IS,Iceland,8,
Pertussis,All cases,Reported cases,N,2000,IT,Italy,2542,
Pertussis,All cases,Reported cases,N,2000,LT,Lithuania,91,
Pertussis,All cases,Reported cases,N,2000,MT,Malta,3,
Pertussis,All cases,Reported cases,N,2000,NL,Netherlands,4359,
Pertussis,All cases,Reported cases,N,2000,NO,Norway,3445,
Pertussis,All cases,Reported cases,N,2000,PT,Portugal,22,
Pertussis,All cases,Reported cases,N,2000,SE,Sweden,2705,
Pertussis,All cases,Reported cases,N,2000,UK,United Kingdom,211,
Pertussis,All cases,Reported cases,N,2001,AT,Austria,253,
Pertussis,All cases,Reported cases,N,2001,DK,Denmark,919,
Pertussis,All cases,Reported cases,N,2001,GR,Greece,93,
Pertussis,All cases,Reported cases,N,2001,ES,Spain,271,
Pertussis,All cases,Reported cases,N,2001,EUEEA30_21,EU/EEA (without UK),15362,
Pertussis,All cases,Reported cases,N,2001,EUEEAUK_21,EU/EEA (with UK until 2019),15672,
Pertussis,All cases,Reported cases,N,2001,FR,France,120,
Pertussis,All cases,Reported cases,N,2001,IE,Ireland,142,
Pertussis,All cases,Reported cases,N,2001,IS,Iceland,3,
Pertussis,All cases,Reported cases,N,2001,IT,Italy,1805,
Pertussis,All cases,Reported cases,N,2001,LT,Lithuania,162,
Pertussis,All cases,Reported cases,N,2001,MT,Malta,1,
Pertussis,All cases,Reported cases,N,2001,NL,Netherlands,8034,
Pertussis,All cases,Reported cases,N,2001,NO,Norway,2578,
Pertussis,All cases,Reported cases,N,2001,PT,Portugal,2,
Pertussis,All cases,Reported cases,N,2001,SE,Sweden,979,
Pertussis,All cases,Reported cases,N,2001,UK,United Kingdom,310,
Pertussis,All cases,Reported cases,N,2002,AT,Austria,157,
Pertussis,All cases,Reported cases,N,2002,DK,Denmark,1938,
Pertussis,All cases,Reported cases,N,2002,GR,Greece,16,
Pertussis,All cases,Reported cases,N,2002,ES,Spain,347,
Pertussis,All cases,Reported cases,N,2002,EUEEA30_21,EU/EEA (without UK),14338,
Pertussis,All cases,Reported cases,N,2002,EUEEAUK_21,EU/EEA (with UK until 2019),14718,
Pertussis,All cases,Reported cases,N,2002,FR,France,60,
Pertussis,All cases,Reported cases,N,2002,IE,Ireland,131,
Pertussis,All cases,Reported cases,N,2002,IS,Iceland,11,
Pertussis,All cases,Reported cases,N,2002,IT,Italy,2576,
Pertussis,All cases,Reported cases,N,2002,LT,Lithuania,23,
Pertussis,All cases,Reported cases,N,2002,MT,Malta,4,
Pertussis,All cases,Reported cases,N,2002,NL,Netherlands,4549,
Pertussis,All cases,Reported cases,N,2002,NO,Norway,3174,
Pertussis,All cases,Reported cases,N,2002,PT,Portugal,2,
Pertussis,All cases,Reported cases,N,2002,SE,Sweden,1350,
Pertussis,All cases,Reported cases,N,2002,UK,United Kingdom,380,
Pertussis,All cases,Reported cases,N,2003,AT,Austria,170,
Pertussis,All cases,Reported cases,N,2003,BG,Bulgaria,180,
Pertussis,All cases,Reported cases,N,2003,CY,Cyprus,58,
Pertussis,All cases,Reported cases,N,2003,CZ,Czechia,342,
Pertussis,All cases,Reported cases,N,2003,DK,Denmark,566,
Pertussis,All cases,Reported cases,N,2003,EE,Estonia,623,
