"CODE","NAME","PREGNANT","GENERALLASTSHOT","GENERALFIRSTSHOT","GENERAL"
"NAM","Namibia",0,"W6","W10",3
"NCL","New Caledonia",0,"Y6","M11",5
"NER","Niger",0,"W6","W10",3
"NGA","Nigeria",0,"W6","W10",3
"NIC","Nicaragua",0,"Y6","M18",5
"NIU","Niue",1,"Y4","M3",5
"NLD","Netherlands (Kingdom of the)",1,"Y4","M11",4
"NOR","Norway",0,"Y7","M12",5
"NPL","Nepal",0,"W6","W10",3
"NRU","Nauru",0,"Y4","M18",5
"NZL","New Zealand",1,"Y4","M3",5
"OMN","Oman",0,"M6","M18",4
"PAK","Pakistan",0,"W6","W10",3
"PAN","Panama",1,"Y4","M18",6
"PER","Peru",1,"Y4","M18",5
"PHL","Philippines",0,"W6","W10",3
"PLW","Palau",0,"Y4-Y6",">=Y10",6
"PNG","Papua New Guinea",0,"M3","M1",3
"POL","Poland",0,"Y6","M16-M18",6
"PRK","Democratic People's Republic of Korea",0,"W6","W10",3
"PRT","Portugal",1,"Y5","M18",5
"PRY","Paraguay",1,"Y4","M18",6
"PSE","occupied Palestinian territory, including east Jerusalem",0,"M6","M18",4
"PYF","French Polynesia",0,"Y6","M10",5
"QAT","Qatar",0,"Y4-Y6","M18",6
"ROU","Romania",1,"Y6","M11",5
"RUS","Russian Federation",0,"M6","M18",4
"RWA","Rwanda",0,"W6","W10",3
"SAU","Saudi Arabia",1,"Y4-Y6","M18",5
"SDN","Sudan",0,"W6","W10",3
"SEN","Senegal",0,"W6","W10",3
"SGP","Singapore",1,"Y11","M18",5
"SLB","Solomon Islands",0,"W6","W10",3
"SLE","Sierra Leone",0,"W6","W10",3
"SLV","El Salvador",1,"Y4","M15-M18",5
"SMR","San Marino",0,"Y5","M11",5
"SOM","Somalia",0,"W6","W10",3
"SRB","Serbia",0,"Y7","M18",5
"SSD","South Sudan",0,"W6","W10",3
"STP","Sao Tome and Principe",0,"W6","W10",3
"SUR","Suriname",1,"Y4-Y5","M18",5
"SVK","Slovakia",0,"Y5","M10",5
"SVN","Slovenia",1,"Y8","M11-M18",4
"SWE","Sweden",1,"Y5","M12",5
"SWZ","Eswatini",0,"W6","W10",3
"SXM","Sint Maarten (Dutch part)",0,"M4","M12",4
"SYC","Seychelles",0,"M5","M18",4
"SYR","Syrian Arab Republic",0,"W8","M18",4
"TCA","Turks and Caicos Islands",0,"Y3","M18",5
"TCD","Chad",0,"W6","W10",3
"TGO","Togo",0,"W6","W10",3
"THA","Thailand",0,"Y4","M2",5
"TJK","Tajikistan",0,"М4","М16-M23",4
"TKL","Tokelau",0,"Y5","W10",4
"TKM","Turkmenistan",0,"M4","M18",4
"TLS","Timor-Leste",0,"W6","M18",4
"TON","Tonga",0,"Y5","M18",5
"TTO","Trinidad and Tobago",0,"Y4-Y5","M18",5
"TUN","Tunisia",0,"M6","M18",4
"TUR","Türkiye",0,"M6","M18",5
"TUV","Tuvalu",0,"Y5-Y6","W10",4
"TZA","United Republic of Tanzania",0,"W6","W10",3
"UGA","Uganda",0,"W6","W10",3
"UKR","Ukraine",0,"M6","M18",4
"URY","Uruguay",1,"Y5","M15",6
"USA","United States of America",1,"Y4","M15",5
"UZB","Uzbekistan",0,"M4","M16",4
"VCT","Saint Vincent and the Grenadines",0,"M6","M18",4
"VEN","Venezuela (Bolivarian Republic of)",0,"Y5","M18",5
"VGB","British Virgin Islands",1,"Y4","M18",5
"VNM","Viet Nam",0,"M4","M18",4
"VUT","Vanuatu",0,"W6","W10",3
"WLF","Wallis and Futuna",0,"Y6","M11",4
"WSM","Samoa",0,"W6","M15",4
"XKX","Kosovo (in accordance with UN Security Council resolution 1244 (1999))",0,"M4","M12",4
"YEM","Yemen",0,"Y5-Y7","M18",5
"ZAF","South Africa",0,"W6","M18",4
"ZMB","Zambia",0,"W6","W10",3
"ZWE","Zimbabwe",0,"W6","M18",4
