,"Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases"
"Countries, territories and areas","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974"
"Afghanistan","331","108","","","488","1","0","432","0","371","1497","0","0","0","2448","5904","2515","2173","558","","1439","","896","1582","896","","","","","","","541","411","1494","4587","6073","5872","8531","6175","10209","8528","15388","15748","22293","21200","11285","199","1",""
"Albania","0","0","3","11","19","7","43","","","6","16","4","0","10","10","13","0","15","72","11","20","36","89","27","24","78","228","136","244","124","51","275","329","302","508","112","115","172","89","126","312","280","137","","","","","",""
"Algeria","0","","","","17","6","2","0","0","69","104","1","0","1","28","0","23","18","7","22","57","137","","4","10","30","9","","4","44","25","16","23","32","45","69","24","520","894","395","663","967","710","482","280","666","2862","1379","965"
"Andorra","0","0","0","1","2","0","6","22","1","6","3","4","0","0","0","","","","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","","","0","0","0","","0","0","0","0","1259","1554","2539","1127","1148","921","1328","0","1675","2654","0","740","560","","","","","","","1458","","10078","14420","21674","14343","10015","6953","15846","23993","28461","31429","31481","54126","37913","28179","11933","3799","1512","3489"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","89","43","0","0","0"
"Argentina","196","174","162","975","900","864","1686","975","561","1112","1239","3185","804","1743","3085","2587","1607","2060","976","643","267","431","515","592","677","640","767","1208","1497","1201","2166","2330","2012","2943","3685","1722","1952","4654","16288","6115","6383","21695","27223","19597","17014","44875","44447","10917","23733"
"Armenia","1","6","12","39","160","77","15","27","85","30","8","1","4","11","3","1","2","6","7","3","3","1","10","13","19","5","2","12","329","98","124","327","469","","","","","","","","","","","","","","","",""
"Australia","479","550","3457","12021","12555","12114","20037","22508","11842","12319","23855","38040","34285","29545","14435","5379","","11277","8676","4968","5563","9538","5795","4403","6055","10242","4389","4099","5633","3990","739","337","862","614","153","291","601","587","261","332","274","170","124","174","","","","",""
"Austria","164","129","655","","2197","1411","1270","579","370","","571","309","414","183","183","133","72","130","130","170","150","253","117","103","113","117","94","91","145","89","138","182","234","190","113","260","177","301","176","181","433","264","186","425","376","313","311","388","1051"
"Azerbaijan","0","0","0","0","0","0","0","0","0","4","18","27","15","5","5","12","60","2","2","1","3","12","11","22","43","52","15","34","104","417","89","150","63","","","","","","","","","","","","","","","",""
"Bahamas","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","8","8","8","15","0","2","1","6","5","0"
"Bahrain","0","0","0","5","1","1","1","0","0","0","3","0","0","1","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","1","7","15","33","22","76","106","86","136","144","617","251","158"
"Bangladesh","0","0","1","12","3","0","1","11","12","1","13","44","17","16","33","87","46","125","140","332","587","16","252","520","814","673","1293","1289","1984","4190","10242","14605","4879","83057","19803","34423","31978","23897","10326","24002","52237","17000","12436","13895","","5109","","",""
"Barbados","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","0","0","1","13","0","0","12","12","0","2","14","3","1","0","0"
"Belarus","28","13","449","776","648","516","522","503","378","188","576","151","112","93","125","156","76","80","80","79","70","86","169","272","262","455","202","227","835","755","638","381","462","","","","","","","","","","","","","","","",""
"Belgium","80","16","124","1098","1354","1535","2105","1203","1501","1142","548","103","133","","260","293","196","231","96","59","27","28","","","","14","8","3","3","2","","0","","3","3","15","5","3","","","","","","","","","","",""
"Belize","0","0","0","0","2","1","4","0","3","6","44","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","4","3","1","0","0","8","36","3","1","0","59","11","2","0","52","18","128","131"
"Benin","0","0","0","","","","","0","0","0","0","0","53","","0","0","0","99","49","","","","215","45","","","119","1055","","","","190","","455","665","2148","1138","2646","2158","1937","2705","4039","2694","4867","6726","3320","3482","4910","4240"
"Bhutan","0","","0","2","8","15","4","12","0","0","0","1","0","0","0","0","1","1","0","0","","0","18","466","0","0","0","5","0","0","9","8","3","225","219","90","160","213","224","392","795","534","464","1249","746","","","",""
"Bolivia (Plurinational State of)","223","0","12","29","21","7","27","11","75","31","0","0","0","0","0","0","6","1","6","46","132","55","10","16","44","138","14","36","45","245","284","56","159","705","685","520","439","964","1393","1445","1387","5028","2377","2457","2611","4375","2194","3078","3536"
"Bosnia and Herzegovina","0","2","12","","97","122","20","12","","","19","30","30","25","41","46","42","39","24","39","81","","43","71","109","","","141","257","82","169","245","287","","","","","","","","","","","","","","","",""
"Botswana","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","15","7","19","38","15","19","17","5","11","22","8","17","17","21","28","212","132","83","137","110","870","597","1010","884","989","3382"
